Frame,Timestamp(s),Offset(m),Direction,Drift Warning,Lane Detected
132,4.40,0.018728470986375135,Left,No,Yes
133,4.43,0.019281323873428746,Left,No,Yes
134,4.47,0.01572720664803549,Left,No,Yes
135,4.50,0.014528003862213817,Left,No,Yes
136,4.53,0.014573159492232172,Left,No,Yes
137,4.57,0.014925519266011269,Left,No,Yes
138,4.60,0.01577392670723125,Left,No,Yes
139,4.63,0.016577402245075843,Left,No,Yes
140,4.67,0.016946553261930248,Left,No,Yes
141,4.70,0.01603673121567819,Left,No,Yes
142,4.73,0.016264964885993088,Left,No,Yes
143,4.77,0.015595942496133476,Left,No,Yes
144,4.80,0.016023984625185356,Left,No,Yes
145,4.83,0.019019409821841513,Left,No,Yes
146,4.87,0.018479882156086164,Left,No,Yes
147,4.90,0.01902954299237126,Left,No,Yes
148,4.93,0.0177588581917616,Left,No,Yes
149,4.97,0.016426283822723178,Left,No,Yes
150,5.00,0.015155955567909628,Left,No,Yes
151,5.03,0.015764510628016357,Left,No,Yes
152,5.07,0.01647724726578904,Left,No,Yes
153,5.10,0.016767167485522337,Left,No,Yes
154,5.13,0.016325826243146158,Left,No,Yes
155,5.17,0.017218599162032545,Left,No,Yes
156,5.20,0.01598538016207909,Left,No,Yes
157,5.23,0.016524708143732077,Left,No,Yes
158,5.27,0.01807184286066046,Left,No,Yes
159,5.30,0.020167996958731792,Left,No,Yes
160,5.33,0.021913924253722107,Left,No,Yes
161,5.37,0.024150161808805855,Left,No,Yes
162,5.40,0.024585571159615918,Left,No,Yes
163,5.43,0.023398209152256697,Left,No,Yes
164,5.47,0.021728875949246138,Left,No,Yes
165,5.50,0.021467057120201645,Left,No,Yes
166,5.53,0.020978672213235884,Left,No,Yes
167,5.57,0.022449871516226724,Left,No,Yes
168,5.60,0.0235978836821996,Left,No,Yes
169,5.63,0.023220146911577255,Left,No,Yes
170,5.67,0.02083912445229479,Left,No,Yes
171,5.70,0.020148838028470936,Left,No,Yes
172,5.73,0.019817147242772514,Left,No,Yes
173,5.77,0.02055352008473454,Left,No,Yes
174,5.80,0.02177259422871605,Left,No,Yes
175,5.83,0.023719822172975857,Left,No,Yes
176,5.87,0.02468594664814346,Left,No,Yes
177,5.90,0.022775763852843314,Left,No,Yes
178,5.93,0.02124716431434836,Left,No,Yes
179,5.97,0.0196546085254941,Left,No,Yes
180,6.00,0.018950468059893175,Left,No,Yes
181,6.03,0.01912585783253802,Left,No,Yes
182,6.07,0.02000408514315481,Left,No,Yes
183,6.10,0.020469942003683735,Left,No,Yes
184,6.13,0.019883694411223743,Left,No,Yes
185,6.17,0.020880065928862157,Left,No,Yes
186,6.20,0.01928096753502156,Left,No,Yes
187,6.23,0.019490038717737,Left,No,Yes
188,6.27,0.020465716946505837,Left,No,Yes
189,6.30,0.021205844758835985,Left,No,Yes
190,6.33,0.02215014367173803,Left,No,Yes
191,6.37,0.023934820404128324,Left,No,Yes
192,6.40,0.022857429555912825,Left,No,Yes
193,6.43,0.020497389968307512,Left,No,Yes
194,6.47,0.019017560043856005,Left,No,Yes
195,6.50,0.016781400459404874,Left,No,Yes
196,6.53,0.016202935448077063,Left,No,Yes
197,6.57,0.01700785832367708,Left,No,Yes
198,6.60,0.016285650969891784,Left,No,Yes
199,6.63,0.01655961266506196,Left,No,Yes
200,6.67,0.016714566645431604,Left,No,Yes
201,6.70,0.016079117364038695,Left,No,Yes
202,6.73,0.014807627359778286,Left,No,Yes
203,6.77,0.014698365926549932,Left,No,Yes
204,6.80,0.01561941652375887,Left,No,Yes
205,6.83,0.0179272627991762,Left,No,Yes
206,6.87,0.018462385785107727,Left,No,Yes
207,6.90,0.01807632377948855,Left,No,Yes
208,6.93,0.017085784893811084,Left,No,Yes
209,6.97,0.016196334713241167,Left,No,Yes
210,7.00,0.01506224259507396,Left,No,Yes
211,7.03,0.015001828641901875,Left,No,Yes
212,7.07,0.014623584942867137,Left,No,Yes
213,7.10,0.015000746919166008,Left,No,Yes
214,7.13,0.013230933403980407,Left,No,Yes
215,7.17,0.01311201776595049,Left,No,Yes
216,7.20,0.011614125541422332,Left,No,Yes
217,7.23,0.012286929190948292,Left,No,Yes
218,7.27,0.013350512798158772,Left,No,Yes
219,7.30,0.015109389995210026,Left,No,Yes
220,7.33,0.019404973438561457,Left,No,Yes
221,7.37,0.022921510458815665,Left,No,Yes
222,7.40,0.021578381542293988,Left,No,Yes
223,7.43,0.020113751072627396,Left,No,Yes
224,7.47,0.01748795676419838,Left,No,Yes
225,7.50,0.014893593857198278,Left,No,Yes
226,7.53,0.013907537972408335,Left,No,Yes
227,7.57,0.013762999078958341,Left,No,Yes
228,7.60,0.013807003172167051,Left,No,Yes
229,7.63,0.01437933351417495,Left,No,Yes
230,7.67,0.014344424382324375,Left,No,Yes
231,7.70,0.01586649604902474,Left,No,Yes
232,7.73,0.016333715832366206,Left,No,Yes
233,7.77,0.017770272777120108,Left,No,Yes
234,7.80,0.01954133489211979,Left,No,Yes
235,7.83,0.023341816687147524,Left,No,Yes
236,7.87,0.023148396967550115,Left,No,Yes
237,7.90,0.022720913148542146,Left,No,Yes
238,7.93,0.019555918271349462,Left,No,Yes
239,7.97,0.01819456991223297,Left,No,Yes
240,8.00,0.015748346866243792,Left,No,Yes
241,8.03,0.015707602184748315,Left,No,Yes
242,8.07,0.015136537687209609,Left,No,Yes
243,8.10,0.015302809240850599,Left,No,Yes
244,8.13,0.015101836809331038,Left,No,Yes
245,8.17,0.013994851152379008,Left,No,Yes
246,8.20,0.014123872735268574,Left,No,Yes
247,8.23,0.015502027270627695,Left,No,Yes
248,8.27,0.016429858381458478,Left,No,Yes
249,8.30,0.018611566712887866,Left,No,Yes
250,8.33,0.02059040352393236,Left,No,Yes
251,8.37,0.020831159028334323,Left,No,Yes
252,8.40,0.019834269092066134,Left,No,Yes
253,8.43,0.01900720739782315,Left,No,Yes
254,8.47,0.01567587031350105,Left,No,Yes
255,8.50,0.015857341775073155,Left,No,Yes
256,8.53,0.015608775215225263,Left,No,Yes
257,8.57,0.015339183719757293,Left,No,Yes
258,8.60,0.015211896456295506,Left,No,Yes
259,8.63,0.013727862667315181,Left,No,Yes
260,8.67,0.0128716153735939,Left,No,Yes
261,8.70,0.014377499397815553,Left,No,Yes
262,8.73,0.015317054753091364,Left,No,Yes
263,8.77,0.016203528772094838,Left,No,Yes
264,8.80,0.018376951837947804,Left,No,Yes
265,8.83,0.020301444107869417,Left,No,Yes
266,8.87,0.018758147297578884,Left,No,Yes
267,8.90,0.01862905003247096,Left,No,Yes
268,8.93,0.015341462982861495,Left,No,Yes
269,8.97,0.013193514944838825,Left,No,Yes
270,9.00,0.012770398188629116,Left,No,Yes
271,9.03,0.012932970475077755,Left,No,Yes
272,9.07,0.012823756805136182,Left,No,Yes
273,9.10,0.013284469268681388,Left,No,Yes
274,9.13,0.012548283784077841,Left,No,Yes
275,9.17,0.012297942848272576,Left,No,Yes
276,9.20,0.01260347894939929,Left,No,Yes
277,9.23,0.01246287428367603,Left,No,Yes
278,9.27,0.014405372696496466,Left,No,Yes
279,9.30,0.015660426329792292,Left,No,Yes
280,9.33,0.01725807313884096,Left,No,Yes
281,9.37,0.01667279300228173,Left,No,Yes
282,9.40,0.01683773000990065,Left,No,Yes
283,9.43,0.013480009662790858,Left,No,Yes
284,9.47,0.011626012054620858,Left,No,Yes
285,9.50,0.010648350509008416,Left,No,Yes
286,9.53,0.009931405281342663,Left,No,Yes
287,9.57,0.009347514861001178,Left,No,Yes
288,9.60,0.007814560588313707,Left,No,Yes
289,9.63,0.007668102713538414,Left,No,Yes
290,9.67,0.007241451305983725,Left,No,Yes
291,9.70,0.0069947665667745955,Left,No,Yes
292,9.73,0.008215884710821127,Left,No,Yes
293,9.77,0.009027515650792383,Left,No,Yes
294,9.80,0.012554130881066747,Left,No,Yes
295,9.83,0.012066026387406264,Left,No,Yes
296,9.87,0.012235610795128981,Left,No,Yes
297,9.90,0.011753881542050752,Left,No,Yes
298,9.93,0.009344157196235563,Left,No,Yes
299,9.97,0.008039910699444515,Left,No,Yes
300,10.00,0.007561966238920338,Left,No,Yes
301,10.03,0.007600094527524606,Left,No,Yes
302,10.07,0.006151935576886534,Left,No,Yes
303,10.10,0.006229231922949337,Left,No,Yes
304,10.13,0.005104405163597592,Left,No,Yes
305,10.17,0.005649957635372945,Left,No,Yes
306,10.20,0.00616771803950281,Left,No,Yes
307,10.23,0.006639498560407406,Left,No,Yes
308,10.27,0.008735426671773037,Left,No,Yes
309,10.30,0.008424521060130124,Left,No,Yes
310,10.33,0.009088718530024293,Left,No,Yes
311,10.37,0.010149976019920548,Left,No,Yes
312,10.40,0.010447049616679534,Left,No,Yes
313,10.43,0.008038545651325809,Left,No,Yes
314,10.47,0.007350636685419927,Left,No,Yes
315,10.50,0.006793978205902449,Left,No,Yes
316,10.53,0.00695787994320699,Left,No,Yes
317,10.57,0.006634767196056844,Left,No,Yes
318,10.60,0.0061247707525640994,Left,No,Yes
319,10.63,0.0061121819283865095,Left,No,Yes
320,10.67,0.005999332592199577,Left,No,Yes
321,10.70,0.006194860220291409,Left,No,Yes
322,10.73,0.007306473313865295,Left,No,Yes
323,10.77,0.008777308757609814,Left,No,Yes
324,10.80,0.010297810996821146,Left,No,Yes
325,10.83,0.010040900303072331,Left,No,Yes
326,10.87,0.009193905310928159,Left,No,Yes
327,10.90,0.0069876413248364825,Left,No,Yes
328,10.93,0.004910286748079829,Left,No,Yes
329,10.97,0.004535543846698374,Left,No,Yes
330,11.00,0.005721490196209694,Left,No,Yes
331,11.03,0.0059065970585633655,Left,No,Yes
332,11.07,0.0055435847574348005,Left,No,Yes
333,11.10,0.005994929546937522,Left,No,Yes
334,11.13,0.0070009521523881355,Left,No,Yes
335,11.17,0.007772067517629432,Left,No,Yes
336,11.20,0.01024250815188015,Left,No,Yes
337,11.23,0.013847057130629795,Left,No,Yes
338,11.27,0.013665418104237033,Left,No,Yes
339,11.30,0.013193953377219549,Left,No,Yes
340,11.33,0.013418985489769147,Left,No,Yes
341,11.37,0.009764332327764552,Left,No,Yes
342,11.40,0.00794259482181949,Left,No,Yes
343,11.43,0.008705225318375885,Left,No,Yes
344,11.47,0.00934555495163813,Left,No,Yes
345,11.50,0.009529458831312176,Left,No,Yes
346,11.53,0.009416096159113754,Left,No,Yes
347,11.57,0.009703649032121588,Left,No,Yes
348,11.60,0.00999447809251216,Left,No,Yes
349,11.63,0.011062152343618414,Left,No,Yes
350,11.67,0.012704734809637287,Left,No,Yes
351,11.70,0.015549237270775552,Left,No,Yes
352,11.73,0.017051268728559374,Left,No,Yes
353,11.77,0.01695709055798915,Left,No,Yes
354,11.80,0.01623158104571369,Left,No,Yes
355,11.83,0.015207474264693353,Left,No,Yes
356,11.87,0.01264158827293988,Left,No,Yes
357,11.90,0.013578948858663367,Left,No,Yes
358,11.93,0.01351986271962648,Left,No,Yes
359,11.97,0.014063819602089989,Left,No,Yes
360,12.00,0.014621525667948687,Left,No,Yes
361,12.03,0.014826378840031572,Left,No,Yes
362,12.07,0.01505570386702589,Left,No,Yes
363,12.10,0.015062549452338413,Left,No,Yes
364,12.13,0.015236655740033918,Left,No,Yes
365,12.17,0.016050280234921794,Left,No,Yes
366,12.20,0.018800549355837613,Left,No,Yes
367,12.23,0.017836672525555392,Left,No,Yes
368,12.27,0.018199584698881978,Left,No,Yes
369,12.30,0.016045032495484193,Left,No,Yes
370,12.33,0.015824980324331668,Left,No,Yes
371,12.37,0.013952564665824283,Left,No,Yes
372,12.40,0.01488400972414566,Left,No,Yes
373,12.43,0.015347111561037787,Left,No,Yes
374,12.47,0.016041049551152146,Left,No,Yes
375,12.50,0.015768607555159894,Left,No,Yes
376,12.53,0.016674916531886096,Left,No,Yes
377,12.57,0.017427360871733417,Left,No,Yes
378,12.60,0.018221057758358715,Left,No,Yes
379,12.63,0.01939286852021211,Left,No,Yes
380,12.67,0.02131564537289847,Left,No,Yes
381,12.70,0.019954380121126453,Left,No,Yes
382,12.73,0.019273706699400872,Left,No,Yes
383,12.77,0.018904909712290387,Left,No,Yes
384,12.80,0.018168140367743918,Left,No,Yes
385,12.83,0.015476056422491379,Left,No,Yes
386,12.87,0.016080563059262705,Left,No,Yes
387,12.90,0.015801009593557996,Left,No,Yes
388,12.93,0.01634676579073062,Left,No,Yes
389,12.97,0.0172031440351991,Left,No,Yes
390,13.00,0.015471099716769026,Left,No,Yes
391,13.03,0.015193840943821244,Left,No,Yes
392,13.07,0.015017162840431622,Left,No,Yes
393,13.10,0.01590184237328969,Left,No,Yes
394,13.13,0.017087613096608133,Left,No,Yes
395,13.17,0.020533668359522503,Left,No,Yes
396,13.20,0.02062892174978096,Left,No,Yes
397,13.23,0.019870020066491873,Left,No,Yes
398,13.27,0.01909966231820735,Left,No,Yes
399,13.30,0.01693618647667175,Left,No,Yes
400,13.33,0.01626036887729501,Left,No,Yes
401,13.37,0.01705148412649086,Left,No,Yes
402,13.40,0.016624826491548898,Left,No,Yes
403,13.43,0.01671610692710736,Left,No,Yes
404,13.47,0.01747247170867533,Left,No,Yes
405,13.50,0.017285636043614213,Left,No,Yes
406,13.53,0.017753536053823637,Left,No,Yes
407,13.57,0.019220047478369355,Left,No,Yes
408,13.60,0.019540629558377348,Left,No,Yes
409,13.63,0.021822213914122725,Left,No,Yes
410,13.67,0.0207263307545769,Left,No,Yes
411,13.70,0.019481921144613792,Left,No,Yes
412,13.73,0.019405523052479796,Left,No,Yes
