Frame,Timestamp(s),Offset(m),Direction,Drift Warning,Lane Detected
577,19.23,0.009949762379191032,Left,No,Yes
578,19.27,0.009342940157266935,Left,No,Yes
579,19.30,0.009020366996321664,Left,No,Yes
580,19.33,0.00920943086536047,Left,No,Yes
581,19.37,0.009788520302052342,Left,No,Yes
582,19.40,0.011950068768527607,Left,No,Yes
583,19.43,0.013268656423687722,Left,No,Yes
584,19.47,0.013483882883237416,Left,No,Yes
585,19.50,0.014480919751496898,Left,No,Yes
586,19.53,0.012773511484449336,Left,No,Yes
587,19.57,0.010566533449659703,Left,No,Yes
588,19.60,0.010743976078816503,Left,No,Yes
589,19.63,0.01196333007999273,Left,No,Yes
590,19.67,0.011603644566821593,Left,No,Yes
591,19.70,0.010014385525315797,Left,No,Yes
592,19.73,0.010606151233357605,Left,No,Yes
593,19.77,0.010290750288466152,Left,No,Yes
594,19.80,0.009663665728585714,Left,No,Yes
595,19.83,0.009784713391802358,Left,No,Yes
596,19.87,0.011820875708932246,Left,No,Yes
597,19.90,0.012717208454034087,Left,No,Yes
598,19.93,0.011859306551028287,Left,No,Yes
599,19.97,0.012816898433082527,Left,No,Yes
600,20.00,0.011991433603826802,Left,No,Yes
601,20.03,0.009820707331775681,Left,No,Yes
602,20.07,0.00971225714100472,Left,No,Yes
